bg_key,cell_line,score,type
PANC-1__WT1,PANC-1,0.9997334,generated
PANC-1__WT2,PANC-1,0.9968426,generated
PANC-1__OE3,PANC-1,0.89744925,generated
PANC-1__WT2,PANC-1,0.9985336,generated
Hela__WT1,Hela,0.9999094,generated
Hela__KO3,Hela,0.9991697,generated
PANC-1__WT3,PANC-1,0.9972459,generated
PANC-1__WT2,PANC-1,0.9955793,generated
Hela__KO2,Hela,0.9998939,generated
Hela__WT3,Hela,0.9991279,generated
Hela__KO2,Hela,0.99784946,generated
PANC-1__WT2,PANC-1,0.99837554,generated
Hela__KO1,Hela,0.9995486,generated
PANC-1__WT3,PANC-1,0.9980939,generated
PANC-1__OE1,PANC-1,0.99974984,generated
PANC-1__OE3,PANC-1,0.9950034,generated
PANC-1__WT1,PANC-1,0.9996897,generated
Hela__KO3,Hela,0.9997594,generated
Hela__WT2,Hela,0.99808985,generated
PANC-1__OE3,PANC-1,0.99579066,generated
PANC-1__WT2,PANC-1,0.9968321,generated
PANC-1__OE2,PANC-1,0.9881281,generated
Hela__WT1,Hela,0.9999285,generated
PANC-1__OE2,PANC-1,0.9959214,generated
PANC-1__WT2,PANC-1,0.99793637,generated
Hela__KO2,Hela,0.9905654,generated
PANC-1__WT1,PANC-1,0.99576306,generated
Hela__KO3,Hela,0.99995506,generated
PANC-1__OE1,PANC-1,0.9995559,generated
Hela__WT1,Hela,0.9981476,generated
PANC-1__OE2,PANC-1,0.9156071,generated
Hela__WT1,Hela,0.9997079,generated
Hela__KO2,Hela,0.99942696,generated
Hela__WT3,Hela,0.99900526,generated
PANC-1__WT3,PANC-1,0.98697144,generated
Hela__WT1,Hela,0.99942493,generated
PANC-1__WT3,PANC-1,0.96704584,generated
PANC-1__OE2,PANC-1,0.9932447,generated
Hela__KO2,Hela,0.9993794,generated
Hela__WT1,Hela,0.9995735,generated
PANC-1__WT2,PANC-1,0.9992379,generated
PANC-1__OE2,PANC-1,0.9936028,generated
PANC-1__WT2,PANC-1,0.99848795,generated
Hela__KO1,Hela,0.999668,generated
Hela__KO1,Hela,0.9999038,generated
PANC-1__OE3,PANC-1,0.98604465,generated
PANC-1__OE1,PANC-1,0.9788366,generated
Hela__KO3,Hela,0.9992931,generated
Hela__KO3,Hela,0.99986136,generated
Hela__KO1,Hela,0.99982363,generated
Hela__WT2,Hela,0.99975806,generated
Hela__KO2,Hela,0.99980336,generated
Hela__KO1,Hela,0.9999454,generated
Hela__WT2,Hela,0.99758685,generated
Hela__KO3,Hela,0.99959093,generated
PANC-1__WT3,PANC-1,0.9958978,generated
Hela__KO3,Hela,0.9999132,generated
Hela__KO1,Hela,0.99965644,generated
Hela__KO3,Hela,0.996887,generated
Hela__WT2,Hela,0.99933124,generated
Hela__KO3,Hela,0.9987991,generated
Hela__KO1,Hela,0.99516886,generated
Hela__WT2,Hela,0.99997234,generated
PANC-1__OE3,PANC-1,0.99158317,generated
PANC-1__OE1,PANC-1,0.99960524,generated
PANC-1__WT1,PANC-1,0.995789,generated
Hela__WT1,Hela,0.99961543,generated
Hela__WT2,Hela,0.99972147,generated
Hela__WT1,Hela,0.99984944,generated
PANC-1__OE3,PANC-1,0.9995049,generated
PANC-1__WT3,PANC-1,0.9228349,generated
Hela__KO2,Hela,0.9996117,generated
PANC-1__WT2,PANC-1,0.9998518,generated
Hela__WT3,Hela,0.99797004,generated
PANC-1__WT1,PANC-1,0.9761481,generated
Hela__KO1,Hela,0.999752,generated
Hela__KO1,Hela,0.9998041,generated
PANC-1__WT1,PANC-1,0.9956065,generated
Hela__KO3,Hela,0.9993075,generated
Hela__WT3,Hela,0.99986434,generated
Hela__WT2,Hela,0.99753845,generated
Hela__KO1,Hela,0.9998417,generated
PANC-1__OE3,PANC-1,0.9999275,generated
PANC-1__WT3,PANC-1,0.9976165,generated
PANC-1__WT1,PANC-1,0.9885605,generated
PANC-1__OE1,PANC-1,0.9994481,generated
PANC-1__OE1,PANC-1,0.999752,generated
PANC-1__WT1,PANC-1,0.99949753,generated
Hela__KO2,Hela,0.99770385,generated
Hela__KO3,Hela,0.9998784,generated
PANC-1__OE1,PANC-1,0.9939466,generated
Hela__WT2,Hela,0.99993753,generated
PANC-1__OE1,PANC-1,0.99950206,generated
PANC-1__OE1,PANC-1,0.9977653,generated
PANC-1__OE1,PANC-1,0.98923826,generated
Hela__KO2,Hela,0.999276,generated
Hela__KO2,Hela,0.9994942,generated
PANC-1__WT3,PANC-1,0.9975184,generated
Hela__WT2,Hela,0.99982435,generated
Hela__KO1,Hela,0.9976211,generated
Hela__KO1,Hela,0.999424,generated
PANC-1__OE3,PANC-1,0.9901579,generated
Hela__KO2,Hela,0.99983346,generated
PANC-1__WT2,PANC-1,0.9998454,generated
Hela__WT3,Hela,0.9996551,generated
Hela__WT1,Hela,0.9998394,generated
PANC-1__OE1,PANC-1,0.99978656,generated
Hela__WT3,Hela,0.9999566,generated
Hela__WT2,Hela,0.9998324,generated
PANC-1__WT1,PANC-1,0.99962974,generated
Hela__KO2,Hela,0.99984884,generated
Hela__WT3,Hela,0.99994016,generated
PANC-1__WT3,PANC-1,0.9934411,generated
Hela__KO1,Hela,0.99968207,generated
Hela__WT3,Hela,0.9853688,generated
Hela__KO3,Hela,0.9999689,generated
PANC-1__WT1,PANC-1,0.9998547,generated
Hela__WT1,Hela,0.99910647,generated
PANC-1__OE3,PANC-1,0.9990748,generated
Hela__KO3,Hela,0.9994517,generated
PANC-1__OE3,PANC-1,0.9998274,generated
PANC-1__WT1,PANC-1,0.99654526,generated
PANC-1__WT1,PANC-1,0.99916255,generated
Hela__KO1,Hela,0.99989367,generated
PANC-1__OE2,PANC-1,0.9934077,generated
Hela__KO1,Hela,0.99817526,generated
PANC-1__OE2,PANC-1,0.999355,generated
Hela__KO3,Hela,0.9949885,generated
PANC-1__WT1,PANC-1,0.9936098,generated
PANC-1__OE1,PANC-1,0.9995771,generated
Hela__KO2,Hela,0.99963367,generated
Hela__KO1,Hela,0.9997056,generated
Hela__WT2,Hela,0.9997141,generated
Hela__WT2,Hela,0.99854666,generated
Hela__KO3,Hela,0.998958,generated
PANC-1__OE3,PANC-1,0.99637777,generated
