cell_line,condition,score,type,label
Hela,KO2,0.235428,real,negative
PANC-1,WT2,0.017816784,real,negative
PANC-1,OE3,0.1817766,real,negative
PANC-1,OE3,0.20631784,real,negative
Hela,KO3,0.010345255,real,negative
Hela,KO3,0.06193413,real,negative
PANC-1,WT3,0.003859653,real,negative
PANC-1,WT3,0.054578222,real,negative
PANC-1,WT1,0.027165722,real,negative
Hela,KO2,0.005299597,real,negative
Hela,KO3,0.10792114,real,negative
Hela,KO1,0.092913724,real,negative
Hela,WT3,0.05369398,real,negative
PANC-1,OE2,0.48958957,real,negative
Hela,WT1,0.26072732,real,negative
Hela,WT2,0.17601338,real,negative
PANC-1,OE2,0.119423516,real,negative
Hela,WT2,0.060149632,real,negative
Hela,WT2,0.42671826,real,negative
Hela,KO2,0.47180554,real,negative
PANC-1,OE1,0.055590134,real,negative
PANC-1,OE3,0.10637345,real,positive
Hela,KO1,0.82183784,real,negative
PANC-1,OE1,0.004973597,real,negative
PANC-1,OE3,0.002287543,real,negative
Hela,WT3,0.007433339,real,negative
PANC-1,WT3,0.011186429,real,negative
Hela,WT3,0.015500744,real,negative
PANC-1,OE2,0.009474739,real,negative
Hela,KO3,0.08268517,real,negative
PANC-1,OE2,0.2552922,real,negative
Hela,WT1,0.4598362,real,negative
Hela,KO1,0.59707403,real,negative
PANC-1,OE3,0.047469053,real,negative
Hela,WT2,0.032789167,real,negative
PANC-1,WT3,0.015226276,real,negative
Hela,KO2,0.01661349,real,negative
Hela,KO3,0.13982363,real,negative
PANC-1,OE2,0.21324445,real,negative
Hela,KO2,0.4998053,real,negative
Hela,WT1,0.01279386,real,negative
Hela,WT1,0.056490757,real,negative
Hela,WT3,0.47383714,real,negative
Hela,KO1,0.88999766,real,negative
Hela,KO2,0.42629507,real,negative
Hela,WT3,0.7711829,real,negative
Hela,KO3,0.38445774,real,negative
PANC-1,WT3,0.003437131,real,negative
PANC-1,WT2,0.3842338,real,negative
PANC-1,OE1,0.000160853,real,negative
PANC-1,OE2,0.000138774,real,negative
PANC-1,OE1,0.022944951,real,negative
Hela,KO2,0.1905702,real,negative
Hela,KO3,0.9325723,real,negative
Hela,KO2,0.01925776,real,negative
Hela,WT2,0.61939996,real,negative
PANC-1,OE2,0.002717911,real,negative
PANC-1,WT2,0.03553796,real,negative
Hela,KO1,0.17890242,real,negative
PANC-1,OE1,0.034510896,real,negative
Hela,KO1,0.22394161,real,negative
Hela,WT1,0.7495251,real,negative
PANC-1,OE1,0.12026171,real,negative
Hela,WT3,0.42569804,real,negative
Hela,WT3,0.6133392,real,negative
PANC-1,OE3,0.007541603,real,negative
Hela,KO1,0.07263751,real,negative
Hela,KO3,0.56088686,real,negative
Hela,KO3,0.031076958,real,negative
Hela,WT2,0.1286064,real,negative
PANC-1,OE2,0.001301008,real,negative
PANC-1,OE2,0.020900456,real,negative
Hela,KO2,0.87177384,real,negative
PANC-1,OE2,0.06978021,real,negative
PANC-1,WT1,0.002709231,real,negative
PANC-1,WT2,0.22311969,real,negative
PANC-1,OE2,0.004012909,real,negative
Hela,WT2,0.78159744,real,negative
PANC-1,WT3,0.005770286,real,negative
Hela,KO2,0.725108,real,negative
PANC-1,WT2,0.023953779,real,negative
PANC-1,WT3,0.043916594,real,negative
PANC-1,OE3,0.007638136,real,negative
PANC-1,WT3,0.07451384,real,negative
PANC-1,OE1,0.008632161,real,negative
PANC-1,WT3,0.023862349,real,negative
Hela,KO2,0.051369496,real,negative
Hela,KO1,0.012033201,real,negative
PANC-1,WT2,0.13948461,real,negative
Hela,WT1,0.5352065,real,negative
Hela,WT3,0.17992717,real,negative
PANC-1,OE3,0.45713,real,negative
Hela,KO3,0.3063809,real,negative
Hela,WT3,0.21164131,real,negative
PANC-1,OE2,0.031357165,real,negative
PANC-1,WT3,0.17488247,real,negative
Hela,KO1,0.92822427,real,negative
Hela,KO1,0.908059,real,negative
Hela,WT2,0.39507118,real,negative
Hela,WT2,0.00970926,real,negative
PANC-1,OE2,0.014385873,real,negative
Hela,WT3,0.037718978,real,negative
Hela,WT3,0.3417087,real,negative
PANC-1,WT3,0.37459117,real,negative
Hela,KO2,0.13207947,real,negative
PANC-1,WT1,0.4087188,real,negative
PANC-1,WT1,0.038236316,real,negative
PANC-1,OE2,0.004003659,real,negative
Hela,WT1,0.5657204,real,negative
PANC-1,WT1,0.004354872,real,negative
Hela,WT3,0.6324862,real,negative
Hela,WT1,0.5372008,real,negative
PANC-1,OE2,0.001308422,real,negative
PANC-1,WT1,0.008137234,real,negative
PANC-1,WT2,0.01883599,real,negative
PANC-1,WT2,0.007076154,real,negative
Hela,KO2,0.016951974,real,negative
PANC-1,WT2,0.22661638,real,negative
PANC-1,WT1,0.044247188,real,negative
Hela,KO1,0.119626656,real,negative
Hela,WT1,0.013060521,real,negative
Hela,KO2,0.2500619,real,negative
Hela,KO2,0.026299419,real,negative
PANC-1,WT2,0.32685515,real,negative
PANC-1,OE2,0.035552237,real,negative
Hela,KO1,0.5874468,real,negative
PANC-1,OE2,0.015853468,real,negative
Hela,KO3,0.94698614,real,negative
PANC-1,WT3,0.028187405,real,negative
Hela,KO3,0.07317117,real,negative
PANC-1,WT2,0.003880298,real,negative
PANC-1,WT2,0.003315354,real,negative
Hela,WT1,0.5922711,real,negative
PANC-1,OE3,0.018883932,real,negative
PANC-1,OE3,0.000908791,real,negative
PANC-1,WT2,0.025281107,real,negative
Hela,KO3,0.13764302,real,negative
Hela,WT3,0.06467542,real,negative
PANC-1,OE3,0.15814373,real,negative
Hela,KO2,0.9770393,real,positive
PANC-1,WT2,0.002353427,real,negative
PANC-1,OE2,0.06353967,real,negative
Hela,KO1,0.013210041,real,negative
Hela,WT3,0.18729097,real,negative
PANC-1,WT3,0.006173209,real,negative
PANC-1,WT1,0.010324859,real,negative
PANC-1,OE3,0.001414444,real,negative
PANC-1,OE1,0.006252045,real,negative
Hela,KO2,0.88084984,real,negative
Hela,WT3,0.9903623,real,positive
Hela,WT2,0.23516428,real,negative
PANC-1,WT2,0.015599821,real,negative
Hela,KO2,0.3372515,real,negative
Hela,KO1,0.33551976,real,negative
Hela,KO3,0.026766717,real,negative
Hela,WT2,0.045008264,real,negative
PANC-1,WT1,0.004137552,real,negative
Hela,WT1,0.01186967,real,negative
Hela,KO2,0.52099234,real,negative
PANC-1,WT3,0.065801725,real,negative
PANC-1,OE3,0.050468497,real,negative
PANC-1,WT2,0.010452132,real,negative
Hela,KO1,0.85222316,real,negative
PANC-1,OE1,0.00589894,real,negative
PANC-1,OE1,0.11474715,real,negative
Hela,KO3,0.18801846,real,negative
PANC-1,OE3,0.7465862,real,negative
PANC-1,WT3,0.040357377,real,negative
PANC-1,WT2,0.002818242,real,negative
Hela,WT2,0.09648233,real,negative
Hela,KO3,0.19268456,real,negative
PANC-1,OE3,0.001707948,real,negative
Hela,WT2,0.7510532,real,negative
Hela,KO3,0.17318381,real,negative
Hela,KO2,0.87100816,real,negative
Hela,KO3,0.037375957,real,negative
PANC-1,OE1,0.004862128,real,negative
Hela,KO1,0.41927326,real,negative
Hela,WT1,0.60863775,real,negative
Hela,KO1,0.27822635,real,negative
PANC-1,OE3,0.001647491,real,negative
PANC-1,WT2,0.036409624,real,negative
Hela,WT3,0.053829316,real,negative
Hela,WT3,0.120583996,real,negative
Hela,WT3,0.64131165,real,negative
PANC-1,OE2,0.003154564,real,negative
PANC-1,OE2,0.003158114,real,negative
PANC-1,OE3,0.03402931,real,negative
Hela,WT3,0.7079371,real,negative
Hela,WT1,0.28037244,real,negative
PANC-1,OE1,0.002049883,real,negative
PANC-1,WT3,0.011117604,real,negative
PANC-1,OE1,0.008886759,real,negative
PANC-1,OE2,0.00307065,real,negative
Hela,KO3,0.7924328,real,negative
PANC-1,WT2,0.06602766,real,negative
PANC-1,OE3,0.002645451,real,negative
Hela,KO3,0.9485838,real,negative
PANC-1,OE3,0.8281768,real,negative
PANC-1,OE2,0.000962373,real,negative
Hela,WT1,0.17054756,real,negative
Hela,KO3,0.03923119,real,negative
PANC-1,OE2,0.001172725,real,negative
Hela,KO2,0.03121644,real,negative
Hela,KO2,0.9245758,real,negative
PANC-1,OE1,0.038178932,real,negative
