panc_-0.5,panc_-0.5,hela_0.5,hela_0.5,panc_0.5,panc_0.5,hela_-0.5,hela_-0.5
B0QY89,EIF3L,Q8N448,LNX2,A0A7I2V5D2,MKRN2,Q9H115,NAPB
Q9BXW9,FANCD2,Q9BRP1,PDCD2L,Q1KMD3,HNRNPUL2,P52292,KPNA2
Q15751,HERC1,Q9H3H5,DPAGT1,O43776,NARS1,P11137,MAP2
B2RDJ6,CIAO1,Q15003,NCAPH,Q96HA7,TONSL,P49746,THBS3
Q9Y6M0,PRSS21,Q7Z7M0,MEGF8,Q9BW27,NUP85,Q14693,LPIN1
Q6ZSZ5,ARHGEF18,Q0IIM8,TBC1D8B,Q5TZN6,NOL3,Q86XX4,FRAS1
A0A024R753,RBM28,Q9P2J3,KLHL9,Q8IU85,CAMK1D,E9PIE4,MTCH2
H0Y9Y2,BOD1L1,A0A9L9PY48,CNOT4,Q4LE39,ARID4B,O60658,PDE8A
C9JJN9,VPS8,Q86WI3,NLRC5,Q5VW36,FOCAD,Q96QT4,TRPM7
Q7Z6Z7,HUWE1,Q8TEB1,DCAF11,H0Y5K5,ERGIC3,Q9BRP4,PAAF1
O14874,BCKDK,B0YJ56,OSBPL1A,Q9NYV6,RRN3,Q9BX63,BRIP1
Q9Y6D5,ARFGEF2,Q96GP6,SCARF2,V9HW32,HEL-S-298,Q6PCT2,FBXL19
O75691,UTP20,A0A8V8TMH5,MAP3K5,A0A0A0MRF6,AKAP9,Q8TAU3,ZNF417
X5D299,ALDH5A1,Q9Y5N6,ORC6,Q15654,TRIP6,Q8N8A2,ANKRD44
Q14126,DSG2,O60341,KDM1A,O00505,KPNA3,Q9H9P8,L2HGDH
O14981,BTAF1,Q13642,FHL1,A0A087WXK8,FAM83D,P31153,MAT2A
A4D0Z3,ARF5,E9PIE4,MTCH2,Q9NZT2,OGFR,O60704,TPST2
Q8IZQ1,WDFY3,O43684,BUB3,Q9P2E3,ZNFX1,Q9UGM3,DMBT1
P21333,FLNA,Q9NZN5,ARHGEF12,A0AV96,RBM47,Q14114,LRP8
A0A3B3IUC4,GLA,P52429,DGKE,Q9NQW6,ANLN,Q7Z2H8,SLC36A1
Q14997,PSME4,Q8TDW5,SYTL5,A0A0A0MRJ1,CDC42BPA,Q6PJI9,WDR59
Q6IA86,ELP2,Q99986,VRK1,O14981,BTAF1,O60684,KPNA6
P57081,WDR4,Q9H4A4,RNPEP,P23469,PTPRE,P52737,ZNF136
A0A1W2PRS1,SCARB2,Q8IV33,KIAA0825,B7ZLQ5,SMARCA1,Q9H5Z1,DHX35
Q9H5Z1,DHX35,O15055,PER2,A0A1B0GUS7,UNC13B,P68371,TUBB4B
P32929,CTH,P02774,GC,P68366,TUBA4A,Q6UXH1,CRELD2
P46777,RPL5,Q14669,TRIP12,Q9Y4B4,RAD54L2,Q2VPB7,AP5B1
Q9Y6X9,MORC2,O14817,TSPAN4,P48739,PITPNB,Q9Y6M0,PRSS21
P78527,PRKDC,P17025,ZNF182,P16383,GCFC2,Q8IVC4,ZNF584
Q6N075,SLC61A1,Q9P273,TENM3,Q6MZT3,DKFZp686C1054,Q7Z460,CLASP1
P23368,ME2,Q6RFH5,WDR74,Q04695,KRT17,Q9P2J5,LARS1
A0A8V8TMA8,SKIC3,Q5JTC6,AMER1,E9PPP8,MTMR1,Q8NBJ9,SIDT2
D6RER5,SEPTIN11,Q68EA5,ZNF57,P56937,HSD17B7,O60266,ADCY3
A0A1Y0BRN3,MYO6,Q96GS6,ABHD17A,O75691,UTP20,Q4KMG0,CDON
A0A0S2Q0B1,ARID1A,P0DPK3,NOTCH2NLB,O15294,OGT,Q9Y696,CLIC4
A0A8I5KUR0,MED12,Q9Y4I1,MYO5A,A0A0S2Z487,JUP,Q9UBX7,KLK11
Q9BRZ2,TRIM56,P51957,NEK4,A0A5F9ZHB6,PRIM1,P83436,COG7
P47897,QARS1,O94806,PRKD3,F5GYQ1,ATP6V0D1,Q86UP2,KTN1
H0YJ66,DHRS7,Q9BXW9,FANCD2,A0A494C0G5,AGRN,A0A1B0GVL4,FAM193A
Q04760,GLO1,Q5THJ4,VPS13D,P11498,PC,P78362,SRPK2
Q92896,GLG1,O94804,STK10,B7ZC38,SH3GLB2,Q96F81,DISP1
